code;label-es_ES;label-nl_NL;label-nl_BE;label-nb_NO;label-it_IT;label-fr_FR;label-fi_FI;label-en_US;label-sv_SE;label-en_IE;label-en_GB;label-de_DE;label-de_CH;label-de_AT;label-da_DK;label-cs_CZ;label-pl_PL;attribute;sort_order
small_54_55cm;"S 54-55cm";"Small 54-55cm";"Small 54-55cm";"Small 54-55cm";"Small 54-55cm";"Small 54-55cm";"Small 54-55cm";;"Small 54-55cm";"Small 54-55cm";"Small 54-55cm";"Gr. S (54-55cm)";"Gr. S (54-55cm)";"Gr. S (54-55cm)";"Small 54-55cm";"S 54-55cm";"Small 54-55cm";helmetsize;30
small_55cm;"S 55cm";"Small 55cm";"Small 55cm";"Small 55cm";"Small 55cm";"Small 55cm";"Small 55cm";;"Small 55cm";"Small 55cm";"Small 55cm";"Gr. S (55cm)";"Gr. S (55cm)";"Gr. S (55cm)";"Small 55cm";"S 55cm";"Small 55cm";helmetsize;31
small_55_56cm;"S 55-56cm";"Small 55-56cm";"Small 55-56cm";"Small 55-56cm";"Small 55-56cm";"Small 55-56cm";"Small 55-56cm";;"Small 55-56cm";"Small 55-56cm";"Small 55-56cm";"Gr. S (55-56cm)";"Gr. S (55-56cm)";"Gr. S (55-56cm)";"Small 55-56cm";"S 55-56cm";"Small 55-56cm";helmetsize;32
s_m_57cm;"S/M 57cm";"S/M 57cm";"S/M 57cm";"S/M 57cm";"S/M 57cm";"S/M 57cm";"S/M 57cm";;"S/M 57cm";"S/M 57cm";"S/M 57cm";"S/M 57cm";;"S/M 57cm";"S/M 57cm";"MS 57cm";"S/M 57cm";helmetsize;33
medium_49_50cm;"M 49-50cm";"Medium 49-50cm";"Medium 49-50cm";"Medium 49-50cm";"Medium 49-50cm";"Medium 49-50cm";"Medium 49-50cm";;"Medium 49-50cm";"Medium 49-50cm";"Medium 49-50cm";"Gr. M (49-50cm)";"Gr. M (49-50cm)";"Gr. M (49-50cm)";"Medium 49-50cm";"M 49-50cm";"Medium 49-50cm";helmetsize;34
medium_51_52cm;"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";"M (51-52cm)";helmetsize;35
medium_s_56cm;"MS 56cm";"Medium-S 55cm";"Medium-S 55cm";"Medium-S 55cm";"Medium-S 55cm";"Medium-S 55cm";"Medium-S 55cm";;"Medium-S 55cm";"Medium-S 55cm";"Medium-S 55cm";"Gr. MS (55cm)";"Gr. MS (55cm)";"Gr. MS (55cm)";"Medium-S 55cm";"MS 56cm";"Medium-S 55cm";helmetsize;36
medium_56_57cm;"M 56-57cm";"Medium 56-57cm";"Medium 56-57cm";"Medium 56-57cm";"Medium 56-57cm";"Medium 56-57cm";"Medium 56-57cm";;"Medium 56-57cm";"Medium 56-57cm";"Medium 56-57cm";"Gr. M (56-57)";"Gr. M (56-57)";"Gr. M (56-57)";"Medium 56-57cm";"M 56-57cm";"Medium 56-57cm";helmetsize;37
medium_57_58cm;"M 57-58cm";"Medium 57-58cm";"Medium 57-58cm";"Medium 57-58cm";"Medium 57-58cm";"Medium 57-58cm";"Medium 57-58cm";;"Medium 57-58cm";"Medium 57-58cm";"Medium 57-58cm";"Gr. M (57-58)";"Gr. M (57-58)";"Gr. M (57-58)";"Medium 57-58cm";"M 57-58cm";"Medium 57-58cm";helmetsize;38
medium_c_57_58cm;"MC 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";;"Medium-C 57-58cm";"Medium-C 57-58cm";"Medium-C 57-58cm";;;"Gr. MC (57-58cm)";"Medium-C 57-58cm";"MC 57-58cm";"Medium-C 57-58cm";helmetsize;39
m_l_58cm;"M/L 58cm";"M/L 58cm";"M/L 58cm";"M/L 58cm";"M/L 58cm";"M/L 58cm";"M/L 58cm";;"M/L 58cm";"M/L 58cm";"M/L 58cm";"M/L 58cm";;"M/L 58cm";"M/L 58cm";"ML 58cm";"M/L 58cm";helmetsize;40
m_l_59cm;"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";"M/L 59cm";helmetsize;41
large_51_52cm;"L 51-52cm";"Large 51-52cm";"Large 51-52cm";"Large 51-52cm";"Large 51-52cm";"Large 51-52cm";"Large 51-52cm";;"Large 51-52cm";"Large 51-52cm";"Large 51-52cm";"Gr. L (51-52cm)";"Gr. L (51-52cm)";"Gr. L (51-52cm)";"Large 51-52cm";"L 51-52cm";"Large 51-52cm";helmetsize;42
large_53_54cm;"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";"L (53-54cm)";helmetsize;43
large_58_59cm;"L 58-59cm";"Large 58-59cm";"Large 58-59cm";"Large 58-59cm";"Large 58-59cm";"Large 58-59cm";"Large 58-59cm";;"Large 58-59cm";"Large 58-59cm";"Large 58-59cm";"Gr. L (58-59cm)";"Gr. L (58-59cm)";"Gr. L (58-59cm)";"Large 58-59cm";"L 58-59cm";"Large 58-59cm";helmetsize;44
large_59_60cm;"L 59-60cm";"Large 59-60cm";"Large 59-60cm";"Large 59-60cm";"Large 59-60cm";"Large 59-60cm";"Large 59-60cm";;"Large 59-60cm";"Large 59-60cm";"Large 59-60cm";"Gr. L (59-60cm)";"Gr. L (59-60cm)";"Gr. L (59-60cm)";"Large 59-60cm";"L 59-60cm";"Large 59-60cm";helmetsize;45
x_large_55_56cm;"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";"XL (55-56cm)";helmetsize;46
x_large_60_61cm;;"X-Large 60-61cm";"X-Large 60-61cm";"X-Large 60-61cm";"X-Large 60-61cm";"X-Large 60-61cm";"X-Large 60-61cm";;"X-Large 60-61cm";"X-Large 60-61cm";"X-Large 60-61cm";"Gr. XL (60-61cm)";"Gr. XL (60-61cm)";"Gr. XL (60-61cm)";"X-Large 60-61cm";"XL 60-61cm";"X-Large 60-61cm";helmetsize;47
x_large_61_62cm;"X-L 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";;"X-Large 61-62cm";"X-Large 61-62cm";"X-Large 61-62cm";"Gr. XL (61-62cm)";"Gr. XL (61-62cm)";"Gr. XL (61-62cm)";"X-Large 61-62cm";"XL 61-62cm";"X-Large 61-62cm";helmetsize;48
xl_xxl_59cm;"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";;"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";"XL/XXL 59cm";;"XL/XXL 59cm";helmetsize;49
xx_large_54cm;"XX-L 54cm";"XX-Large 54cm";"XX-Large 54cm";"XX-Large 54cm";"XX-Large 54cm";"XX-Large 54cm";"XX-Large 54cm";;"XX-Large 54cm";"XX-Large 54cm";"XX-Large 54cm";"Gr. XXL (54cm)";"Gr. XXL (54cm)";"Gr. XXL (54cm)";"XX-Large 54cm";"XXL 54cm";"XX-Large 54cm";helmetsize;50
xx_large_62_63cm;"XX-L 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";;"XX-Large 62-63cm";"XX-Large 62-63cm";"XX-Large 62-63cm";"Gr. XXL (62-63cm)";"Gr. XXL (62-63cm)";"Gr. XXL (62-63cm)";"XX-Large 62-63cm";"XXL 62-63cm";"XX-Large 62-63cm";helmetsize;51
xx_large_63cm;"XX-L 63cm";"XX-Large 63cm";"XX-Large 63cm";"XX-Large 63cm";"XX-Large 63cm";"XX-Large 63cm";"XX-Large 63cm";;"XX-Large 63cm";"XX-Large 63cm";"XX-Large 63cm";"Gr. XXL (63cm)";"Gr. XXL (63cm)";"Gr. XXL (63cm)";"XX-Large 63cm";"XXL 63cm";"XX-Large 63cm";helmetsize;52
xx_large_63_64cm;"XX-L 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";;"XX-Large 63-64cm";"XX-Large 63-64cm";"XX-Large 63-64cm";"Gr. XXL (63-64cm)";"Gr. XXL (63-64cm)";"Gr. XXL (63-64cm)";"XX-Large 63-64cm";"XXL 63-64cm";"XX-Large 63-64cm";helmetsize;53
xxx_large_64cm;"XXX-L 64cm";"XXX-Large 64cm";"XXX-Large 64cm";"XXX-Large 64cm";"XXX-Large 64cm";"XXX-Large 64cm";"XXX-Large 64cm";;"XXX-Large 64cm";"XXX-Large 64cm";"XXX-Large 64cm";"Gr. XXXL (64cm)";"Gr. XXXL (64cm)";"Gr. XXXL (64cm)";"XXX-Large 64cm";"XXXL 64cm";"XXX-Large 64cm";helmetsize;54
xxx_large_64_65cm;"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";;"XXXL 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";"Gr. 2XL (64-65cm)";"Gr. 2XL (64-65cm)";"Gr. 2XL (64-65cm)";"XXX-Large 64-65cm";"XXXL 64-65cm";"XXXL 64-65cm";helmetsize;55
xxx_large_65_66cm;"XXX-L 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";;"XXX-Large 65-66cm";"XXX-Large 65-66cm";"XXX-Large 65-66cm";"Gr. 2XL (65-66cm)";"Gr. 2XL (65-66cm)";"Gr. 2XL (65-66cm)";"XXX-Large 65-66cm";"3XL Nadmerná velikost 65-66cm";"XXX-Large 65-66cm";helmetsize;56
xxxx_large_67_68cm;"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";;"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"XXXX-Large 67-68cm";"Gr. 4XL (67-68cm)";"Gr. 4XL (67-68cm)";"Gr. 4XL (67-68cm)";"XXXX-Large 67-68cm";"XXXXL 67-68cm";"XXXX-Large 67-68cm";helmetsize;57
xxxxx_large_69_70cm;"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";;"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"Gr. 5XL (69-70cm)";"Gr. 5XL (69-70cm)";"Gr. 5XL (69-70cm)";"XXXXXL 69-70cm";"XXXXXL 69-70cm";"XXXXXL 69-70cm";helmetsize;58
xs_l;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;XS-L;helmetsize;59
m_2xl;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;M/2XL;helmetsize;60
xl_xxxl;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;XL-XXXL;helmetsize;61
xx_small_51_52cm;"XX-S 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";;"XX-Small 51-52cm";"XX-Small 51-52cm";"XX-Small 51-52cm";"Gr. XXS (51-52cm)";"Gr. XXS (51-52cm)";"Gr. XXS (51-52cm)";"XX-Small 51-52cm";"XXS 51-52cm";"XX-Small 51-52cm";helmetsize;62
xxx_small_49_50cm;"XXX-S 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";;"XXX-Small 49-50cm";"XXX-Small 49-50cm";"XXX-Small 49-50cm";"Gr. XXXS (49-50cm)";"Gr. XXXS (49-50cm)";"Gr. XXXS (49-50cm)";"XXX-Small 49-50cm";"XXXS 49-50cm";"XXX-Small 49-50cm";helmetsize;63
7_8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;7/8;shoesize;0
9_10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;9/10;shoesize;1
11_12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;11/12;shoesize;2
13_14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;13/14;shoesize;3
20;20;20;20;20;20;20;20;;20;;20;20;20;20;20;20;20;shoesize;4
21;21;21;21;21;21;21;21;;21;;21;21;21;21;21;21;21;shoesize;5
21_22;21-22;21-22;21-22;21-22;21-22;21-22;21-22;;21-22;21-22;21-22;21-22;21-22;21-22;21-22;21-22;21-22;shoesize;6
22;22;22;22;22;22;22;22;;22;;22;22;22;22;22;22;22;shoesize;7
22_23;22-23;22-23;22-23;22-23;22-23;22-23;22-23;;22-23;22-23;22-23;22-23;22-23;22-23;22-23;22-23;22-23;shoesize;8
23;23;23;23;23;23;23;23;;23;;23;23;23;23;23;23;23;shoesize;9
23_24;23-24;23-24;23-24;23-24;23-24;23-24;23-24;;23-24;23-24;23-24;23-24;23-24;23-24;23-24;23-24;23-24;shoesize;10
24;24;24;24;24;24;24;24;;24;;24;24;24;24;24;24;24;shoesize;11
24_25;24-25;24-25;24-25;24-25;24-25;24-25;24-25;;24-25;24-25;24-25;24-25;24-25;24-25;24-25;24-25;24-25;shoesize;12
25;25;25;25;25;25;25;25;;25;;25;25;25;25;25;25;25;shoesize;13
25_26;25-26;25-26;25-26;25-26;25-26;25-26;25-26;;25-26;25-26;25-26;25-26;25-26;25-26;25-26;25-26;25-26;shoesize;14
26;26;26;26;26;26;26;26;;26;;26;26;26;26;26;26;26;shoesize;15
26_27;26-27;26-27;26-27;26-27;26-27;26-27;26-27;;26-27;26-27;26-27;26-27;26-27;26-27;26-27;26-27;26-27;shoesize;16
27;27;27;27;27;27;27;27;;27;27;27;27;27;27;27;27;27;shoesize;17
27_28;27-28;27-28;27-28;27-28;27-28;27-28;27-28;;27-28;27-28;27-28;27-28;27-28;27-28;27-28;27-28;27-28;shoesize;18
28;28;28;28;28;28;28;28;;28;28;28;28;28;28;28;28;28;shoesize;19
28_29;28-29;28-29;28-29;28-29;28-29;28-29;28-29;;28-29;28-29;28-29;28-29;28-29;28-29;28-29;28-29;28-29;shoesize;20
29;29;29;29;29;29;29;29;;29;29;29;29;29;29;29;29;29;shoesize;21
29_30;29-30;29-30;29-30;29-30;29-30;29-30;29-30;;29-30;29-30;29-30;29-30;29-30;29-30;29-30;29-30;29-30;shoesize;22
30;30;30;30;30;30;30;30;;30;30;30;30;30;30;30;30;30;shoesize;23
30_5;30,5;30,5;30,5;30,5;30,5;30,5;30,5;;30,5;30,5;30,5;30,5;30,5;30,5;30,5;30,5;30,5;shoesize;24
30_31;30-31;30-31;30-31;30-31;30-31;30-31;30-31;;30-31;30-31;30-31;30-31;30-31;30-31;30-31;30-31;30-31;shoesize;25
31;31;31;31;31;31;31;31;;31;31;31;31;31;31;31;31;31;shoesize;26
